,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
674,Red nucleus,145007.444795,73604.7108307,71402.7339642,67728.2860147,3755.20504732,2121.21976866,12773.0809674,58355.0788644,274.574132492,RN
675,Oculomotor nucleus,171631.265335,89774.9737119,81856.2916229,86253.0669471,336.487907466,3185.41885734,20750.0876271,43048.0196285,18058.1843673,III
676,Edinger-Westphal nucleus,208010.862186,123742.023082,84268.8391039,120418.194162,108.621860149,3215.20706042,14859.4704684,52442.6340801,16966.7345553,EW
677,Trochlear nucleus,142490.566038,63535.5587808,78955.0072569,55082.7285922,5851.95936139,2600.87082729,19785.1959361,49788.0986938,9381.712627,IV
678,Ventral tegmental nucleus,129824.647456,54013.4886573,75811.1587983,27114.6535868,25211.5266708,1687.30839975,9535.25444513,36806.8669528,29469.0374004,VTN
679,Anterior tegmental nucleus,130192.008303,54999.4810586,75192.5272444,12188.8946549,41382.459782,1428.12662169,10793.9802802,52276.0768033,12122.4701609,AT
680,Lateral terminal nucleus of the accessory optic tract,140244.37299,62868.1672026,77376.2057878,50623.7942122,11627.0096463,617.363344051,10289.3890675,57517.6848875,9569.1318328,LT
681,Midbrain behavioral state related,127952.318512,62851.8297771,65100.4887352,26893.6305479,8843.32657846,27114.8726507,9810.94290142,52248.7384273,3040.80740652,MBsta
682,Substantia nigra compact part,136590.815002,69242.9568817,67347.8581202,30584.289373,11871.3117917,26787.3557169,9381.18794513,57739.8870294,226.783145634,SNc
683,Pedunculopontine nucleus,100152.245557,39677.9321486,60474.3134087,31418.9337641,6788.75605816,1470.24232633,8079.09531502,49469.2084006,2926.00969305,PPN
684,Midbrain raphe nuclei,142854.397671,75834.1380565,67020.2596142,20943.0547131,8292.12665292,46598.9566905,11408.6618949,50538.493267,5073.10445226,RAmb
685,Interfascicular nucleus raphe,155071.583514,87184.3817787,67887.2017354,28570.9327549,4636.87635575,53976.5726681,8829.5010846,58169.197397,888.503253796,IF
686,Interpeduncular nucleus,142319.799293,80993.7023194,61326.096974,20090.3179561,11203.5226051,49699.8617582,13202.3961907,43464.0315396,4659.66924377,IPN
687,Rostral linear nucleus raphe,142192.69103,76491.6943522,65700.9966777,28810.6312292,53.1561461794,47627.9069767,8664.45182724,57036.5448505,0.0,RL
688,Central linear nucleus raphe,103690.482914,41588.2519062,62102.2310082,10500.9884213,5693.30697543,25393.9565095,5566.78904264,55821.5193448,713.922620729,CLI
689,Dorsal nucleus raphe,166331.921031,86183.358875,80148.5621563,26671.9552871,6479.04083656,53032.3627513,12813.8465699,57330.5688272,10004.1467592,DR
690,Hindbrain,108334.328739,45562.5605151,62771.7682234,39959.3856885,4372.64356764,1230.53125896,9917.54903624,43594.5354697,9259.68371746,HB
691,Pons,103763.397217,44160.6904417,59602.7067753,37211.16916,5779.22562471,1170.29565707,9704.06912901,43699.5938294,6199.04381687,P
692,Pons sensory related,107880.802552,42642.9919585,65237.8105939,37534.9046412,4051.60346545,1056.48385185,11084.3369442,45937.0047627,8216.46888701,P-sen
693,Nucleus of the lateral lemniscus,108242.062996,39238.3331846,69003.7298117,25264.2098688,12961.0422058,1013.08111002,10591.0948514,52780.7263318,5631.90862854,NLL
694,Nucleus of the lateral lemniscus dorsal part,100210.404957,35361.8677043,64848.5372532,23260.9886151,11210.8372964,890.041792766,7290.96411587,47518.0861796,10039.4869578,NLLd
695,Nucleus of the lateral lemniscus horizontal part,99676.1487965,33715.536105,65960.6126915,24770.2407002,7789.93435449,1155.36105033,8927.78993435,49803.0634573,7229.75929978,NLLh
696,Nucleus of the lateral lemniscus ventral part,111950.546739,41160.0737643,70790.4729747,26033.193943,14082.9588842,1043.92093712,11938.5989974,54960.4425859,3891.43139139,NLLv
697,Principal sensory nucleus of the trigeminal,108057.567086,43329.3793981,64728.1876875,42339.2918861,24.7743077157,965.313204208,10837.8748289,43215.2406232,10675.0722354,PSV
698,Parabrachial nucleus,124417.305703,53804.3299925,70612.9757107,50981.7740842,1318.25801619,1504.29789207,11071.0846382,44082.3197917,15459.5712808,PB
699,Koelliker-Fuse subnucleus,119376.419898,48238.1511947,71138.2687035,45938.1120251,1034.07755582,1265.96161379,10234.2342342,47630.2389346,13273.7955347,KF
700,Parabrachial nucleus lateral division,129093.981406,57993.541021,71100.4403849,54609.2970152,1931.16946664,1453.07453923,12484.749633,41072.3209917,17543.3697602,PBl
701,Parabrachial nucleus lateral division central lateral part,132435.576311,59272.3413288,73163.234982,56236.0433029,1507.9600934,1528.3379325,13442.581193,41217.5758862,18503.0779028,PBlc
702,Parabrachial nucleus lateral division dorsal lateral part,128571.137175,57081.0810811,71490.0560938,54225.3952065,1599.18408975,1256.5017848,14735.3391127,36977.0525242,19777.6644569,PBld
703,Parabrachial nucleus lateral division external lateral part,145605.363128,70349.9441341,75255.4189944,66459.8882682,2445.58659218,1444.46927374,10912.1787709,49054.7486034,15288.4916201,PBle
704,Parabrachial nucleus lateral division superior lateral part,124195.38748,54777.2525426,69418.1349377,50587.5949004,2612.80618823,1576.85145395,13852.4566681,38797.8799599,16767.7983097,PBls
705,Parabrachial nucleus lateral division ventral lateral part,117287.788215,50937.6601196,66350.1280956,47986.3364646,1628.69342442,1322.63023057,9007.00256191,40192.6558497,17150.469684,PBlv
706,Parabrachial nucleus medial division,118374.958901,49097.3893602,69277.5695403,47056.2241073,273.558229763,1767.60702308,8783.32346945,47767.4755047,12726.7705662,PBm
707,Parabrachial nucleus medial division external medial part,147848.595849,71970.6959707,75877.8998779,69978.021978,664.224664225,1328.44932845,8244.2002442,52864.4688645,14769.2307692,PBme
708,Parabrachial nucleus medial division medial medial part,114817.00936,46336.2075319,68480.8018277,44289.1885916,226.398408136,1820.6205321,8848.40445132,47152.1851279,12480.2122485,PBmm
709,Superior olivary complex,89914.1985818,33573.986417,56340.2121649,29790.19252,3028.23252072,755.561376265,11948.8858538,44391.3263111,0.0,SOC
710,Superior olivary complex periolivary region,90364.3981829,33601.90535,56762.4928329,29404.4899219,3447.97777092,749.437657125,12146.2532528,44616.2395801,0.0,POR
711,Superior olivary complex medial part,86435.9987838,31640.0121618,54795.9866221,29986.013986,836.728488902,817.269686835,12492.5509273,42303.4356947,0.0,SOCm
712,Superior olivary complex lateral part,88049.8545908,34632.322393,53417.5321978,33289.5720814,571.665974242,771.084337349,9718.32156211,43699.2106356,0.0,SOCl
713,Pons motor related,108444.774397,48399.7692559,60045.0051416,44031.1203632,3064.92438113,1303.72451155,9929.30199895,43635.1232726,6480.57987008,P-mot
714,Barrington's nucleus,160479.041916,82395.2095808,78083.8323353,78499.001996,1628.74251497,2267.46506986,15265.4690619,51832.3353293,10986.0279441,B
715,Dorsal tegmental nucleus,178460.915077,86237.3797062,92223.5353706,66658.112443,17677.5282796,1901.73898362,14046.9356745,42637.8524396,35538.7472565,DTN
716,Pontine central gray,131753.504868,58255.4923476,73498.0125199,47063.5279556,9481.25580178,1710.7085902,11461.5952205,42764.6680789,19271.7492205,PCG
717,Pontine gray,170715.457413,93565.9305994,77149.5268139,89935.6466877,1707.2555205,1923.02839117,21400.6309148,53437.2239748,2311.67192429,PG
718,Pontine reticular nucleus caudal part,80571.4805332,31573.169973,48998.3105602,28963.1816985,1716.2028285,893.785445931,6579.64536122,39585.0774127,2833.58778626,PRNc
719,Supragenual nucleus,172029.19708,78890.5109489,93138.6861314,75270.0729927,1868.61313869,1751.82481752,14715.3284672,48817.5182482,29605.8394161,SG
720,Supratrigeminal nucleus,108917.027133,44250.0983091,64666.9288242,42186.3940228,591.427447896,1472.27683838,8695.24184035,39556.4294141,16415.2575698,SUT
721,Tegmental reticular nucleus,127050.337039,58128.3375646,68921.9994747,54289.0659196,2044.99693601,1794.27470892,9836.99553532,54055.1518865,5029.85205288,TRN
722,Motor nucleus of trigeminal,115996.391352,50980.9923783,65015.3989734,44199.7200187,5258.17389952,1523.0984601,10866.7599938,41607.4661689,12541.1728107,V
723,Pons behavioral state related,98835.8314593,41139.4650624,57696.3663969,27467.9543526,12445.5606419,1225.95006792,8032.48134492,44774.6968192,4889.18823274,P-sat
724,Superior central nucleus raphe,114611.81323,50618.5817778,63993.2314526,21762.572048,27344.9315213,1511.07820845,8770.34530168,42025.9108455,13196.9753054,CS
725,Superior central nucleus raphe lateral part,102003.988573,40249.6631273,61754.325446,17047.8089797,21963.4560448,1238.39810273,6754.27154638,39977.1465531,15022.9073465,CSl
726,Superior central nucleus raphe medial part,126751.154704,60602.2108049,66148.9438995,26302.143339,32526.4414344,1773.62603145,10711.505527,43998.5468888,11438.8914837,CSm
727,Locus ceruleus,238391.116595,141463.294263,96927.8223319,137653.300432,375.077112893,3434.91671808,22405.9222702,66921.6533004,7600.24676126,LC
728,Laterodorsal tegmental nucleus,170603.257639,80374.7473547,90228.5102842,73176.5545119,4595.88633932,2602.30650339,10957.0800143,50242.7773154,29028.6529545,LDT
729,Nucleus incertus,127984.21507,52666.4200271,75317.7950425,31167.3449254,20023.1841164,1475.89098532,10433.8389444,40259.4647922,24624.491306,NI
730,Pontine reticular nucleus,88615.6379278,35189.6597855,53425.9781423,23822.3393089,10318.4802519,1048.84022475,7312.24401589,44804.0833968,1309.65072962,PRNr
731,Nucleus raphe pontis,73299.1452991,23427.5946276,49871.5506716,18660.8058608,4219.78021978,547.008547009,8845.90964591,32789.2551893,8236.38583639,RPO
732,Subceruleus nucleus,104506.71785,43024.9520154,61481.7658349,41090.2111324,0.0,1934.74088292,9857.96545106,45911.7082534,5712.09213052,SLC
733,Sublaterodorsal nucleus,139363.20956,66253.5211268,73109.6884336,61678.1903542,2458.38668374,2116.94408878,11076.3977806,58386.6837388,3646.60691421,SLD
734,Medulla,111186.193713,46437.2059003,64748.9878129,41674.034535,3495.05831317,1268.11305218,10050.7419899,43528.9881617,11169.2576613,MY
735,Medulla sensory related,131209.154906,54718.3333375,76490.8215689,49472.5962426,3991.73346757,1254.00362736,12347.3866071,45444.2755275,18699.1594343,MY-sen
736,Area postrema,244705.882353,165523.625844,79182.2565092,132474.445516,30271.9382835,2777.24204436,28482.1600771,14349.0838959,36351.0125362,AP
737,Cochlear nuclei,148447.276328,61472.322155,86974.9541725,55832.8840442,4988.22699068,651.211120151,15953.4177017,52568.0452491,18453.4912217,CN
738,Granular lamina of the cochlear nuclei,188465.840708,78544.4247788,109921.415929,76890.619469,1064.77876106,589.026548673,14499.1150442,63343.0088496,32079.2920354,CNlam
739,Cochlear nucleus subpedunclular granular region,209984.408221,97247.3423104,112737.065911,90919.9149539,5238.83770376,1088.58965273,20569.8086464,64136.0737066,28031.1835578,CNspg
740,Dorsal cochlear nucleus,162048.914065,75322.720073,86726.1939918,63747.4294612,10855.3786679,719.911943945,16159.3599828,48223.7912427,22343.0427662,DCO
741,Ventral cochlear nucleus,135027.149551,50221.7636213,84805.3859296,48164.8256847,1466.92152849,590.01640814,15672.7844782,54238.2055923,14894.3958591,VCO
742,Dorsal column nuclei,147611.336032,64044.534413,83566.8016194,58708.5020243,3412.95546559,1923.07692308,9336.03238866,48748.9878543,25481.7813765,DCN
743,Cuneate nucleus,147076.638396,61641.3261372,85435.3122591,56573.6314572,3197.53276793,1870.1619121,8980.72474942,52024.0555127,24430.5319969,CU
744,Gracile nucleus,150054.968288,75027.4841438,75027.4841438,68465.1162791,4397.46300211,2164.90486258,10959.8308668,33781.5362932,30286.1169838,GR
745,External cuneate nucleus,160284.964037,72278.5706131,88006.3934239,66403.927389,4121.01838109,1753.62484302,12366.7085284,44103.6648019,31536.0200936,ECU
746,Nucleus of the trapezoid body,114259.953811,47877.3210162,66382.6327945,41444.8036952,5362.40184758,1070.11547344,13089.6997691,53221.9861432,70.9468822171,NTB
747,Nucleus of the solitary tract,154025.362755,71224.390596,82800.9721587,65124.238997,3639.14623288,2461.00536612,13001.1309767,47157.9757923,22641.8653897,NTS
748,Nucleus of the solitary tract central part,178003.016591,93828.0542986,84174.9622926,86684.7662142,3957.76772247,3185.52036199,14190.0452489,53285.0678733,16699.8491704,NTSce
749,Nucleus of the solitary tract commissural part,161508.684864,82421.8362283,79086.8486352,77498.7593052,2268.69904289,2654.37788018,20667.8482808,23276.8521801,35142.1481744,NTSco
750,Nucleus of the solitary tract gelatinous part,159759.036145,73012.0481928,86746.9879518,68915.6626506,1927.71084337,2168.6746988,19518.0722892,36867.4698795,30361.4457831,NTSge
751,Nucleus of the solitary tract lateral part,144099.945418,64589.9690703,79509.9763479,59769.300746,2581.11468252,2239.55364182,9350.23348899,51257.4443568,18902.298502,NTSl
752,Nucleus of the solitary tract medial part,159902.053712,74208.5308057,85693.5229068,66805.6872038,4793.04897314,2609.79462875,14439.178515,47620.8530806,23633.4913112,NTSm
753,Spinal nucleus of the trigeminal caudal part,113115.834256,45986.8853612,67128.9488951,42433.767558,2505.63437231,1047.4834309,8227.97672415,35248.7737989,23652.1983721,SPVC
754,Spinal nucleus of the trigeminal interpolar part,117943.693941,46136.7014461,71806.992495,40164.3053267,4616.95039356,1355.44572579,11498.4440783,44002.782354,16305.7660626,SPVI
755,Spinal nucleus of the trigeminal oral part,104587.545378,40719.1490442,63868.3963342,39071.6661166,609.276230611,1038.20669696,10768.754284,42678.5814018,10421.0606484,SPVO
756,Spinal nucleus of the trigeminal oral part caudal dorsomedial part,131066.614725,58215.8161278,72850.7985976,54027.2691858,2567.97818465,1620.5687573,8676.27580834,39516.9458512,24657.5769381,SPVOcdm
757,Spinal nucleus of the trigeminal oral part middle dorsomedial part dorsal zone,121257.210124,50853.4432019,70403.7669217,48743.9670394,489.699823426,1619.77633902,9756.32725132,39684.5203061,20962.9193643,SPVOmdmd
758,Spinal nucleus of the trigeminal oral part middle dorsomedial part ventral zone,104949.286066,41106.8439193,63842.4421467,39499.7538159,267.848350566,1339.24175283,8775.97242738,37514.5248646,17551.9448548,SPVOmdmv
759,Spinal nucleus of the trigeminal oral part rostral dorsomedial part,109015.052456,44431.1996351,64583.8528204,42008.2104303,1294.2070853,1128.78211951,11044.5491866,41297.8561654,12241.4474685,SPVOrdm
760,Spinal nucleus of the trigeminal oral part ventrolateral part,97776.4514855,36096.3707377,61680.0807478,35020.6696801,269.627419142,806.073638478,11431.0791241,44800.2808619,5448.72076184,SPVOvl
761,Medulla motor related,106581.396518,44418.7156119,62162.6809059,39617.3978943,3451.49229205,1349.82542561,9144.28003047,44189.0120597,8829.38881564,MY-mot
762,Abducens nucleus,170077.709611,85006.1349693,85071.5746421,74143.1492843,9030.67484663,1832.31083845,10601.2269939,48490.797546,25979.5501022,VI
763,Facial motor nucleus,112291.403983,51187.831482,61103.5725008,45825.6779746,3991.59411588,1370.55939157,15282.6978885,45591.91434,228.960272191,VII
764,Accessory facial motor nucleus,111349.593496,57012.775842,54336.8176539,55303.1358885,0.0,1709.63995354,9886.17886179,44450.6387921,0.0,ACVII
765,Nucleus ambiguus,115080.724531,51965.239242,63115.4852895,44708.1980944,5575.12302377,1681.91812376,9950.79049314,49144.173385,4020.52141137,AMB
766,Nucleus ambiguus dorsal division,141521.553766,71609.6636665,69911.8900995,62453.8133586,6700.14211274,2455.70819517,11490.2889626,52449.0762672,5972.52486973,AMBd
767,Nucleus ambiguus ventral division,105573.923166,45088.0869228,60485.8362437,36445.4792394,7338.76600698,1303.84167637,10169.9650757,48180.0543267,2135.81684129,AMBv
768,Dorsal motor nucleus of the vagus nerve,193460.846385,98100.6331223,95360.2132622,91126.9576808,4051.98267244,2921.69276908,17167.6107964,42385.8713762,35806.7310896,DMX
769,Gigantocellular reticular nucleus,89800.2279631,35164.9947651,54635.233198,29751.3138825,4187.42489337,1226.25598919,6103.88310958,44883.2797809,3648.07030754,GRN
770,Infracerebellar nucleus,144676.056338,57915.4929577,86760.5633803,40000.0,16450.7042254,1464.78873239,6422.53521127,42478.8732394,37859.1549296,ICB
771,Inferior olivary complex,102102.060632,43836.4440608,58265.6165714,42581.5082533,1130.65055562,124.285251915,15292.2645377,42120.6171108,852.734922861,IO
772,Intermediate reticular nucleus,97931.4339177,40110.6680626,57820.7658551,36671.2258582,2054.75485064,1384.68735381,7130.87255797,46238.5778887,4451.31540843,IRN
773,Inferior salivatory nucleus,110407.668452,48987.8770792,61419.791373,45740.0620242,1822.38511418,1425.4299408,11890.6117846,48518.7482379,1010.43135044,ISN
774,Linear nucleus of the medulla,128741.863576,58378.9567543,70362.9068212,54098.9745876,2025.85822559,2254.12394115,7789.56754347,62430.6732055,142.666072225,LIN
775,Lateral reticular nucleus,113236.290232,49256.027812,63980.2624201,46526.858809,1799.70842212,929.460580913,12143.994617,49408.5454749,2427.72232814,LRN
776,Lateral reticular nucleus magnocellular part,115825.959781,51001.0968921,64824.8628885,48078.0012188,1932.480195,990.615478367,12250.0914077,49981.2309567,2593.54052407,LRNm
777,Lateral reticular nucleus parvicellular part,77882.4653607,21863.3540373,56019.1113235,21221.213569,366.937410416,275.203057812,12078.3564262,43237.458194,703.296703297,LRNp
778,Magnocellular reticular nucleus,99674.2196434,41904.5360213,57769.683622,32809.1143958,8036.9319385,1058.48968701,9314.98030579,46630.4688493,1824.23446699,MARN
779,Medullary reticular nucleus,98141.2840928,43388.187462,54753.0966308,41117.7566741,1179.22093452,1091.20985341,6165.24000757,38002.2919552,10585.564668,MDRN
780,Medullary reticular nucleus dorsal part,114794.627565,49606.2017367,65188.4258286,46596.6767825,1530.72323548,1478.8017187,3669.12051922,35110.483459,26408.8218503,MDRNd
781,Medullary reticular nucleus ventral part,89877.6800358,40302.7284926,49574.9515432,38399.0457731,1004.80095423,898.88176532,7403.8467273,39437.2446697,2733.86014612,MDRNv
782,Parvicellular reticular nucleus,105888.083884,43449.9956472,62438.0882367,38915.3132587,3130.63328852,1404.04909993,8418.72297618,46208.5683056,7810.79695495,PARN
783,Parasolitary nucleus,195977.846154,97555.6923077,98422.1538462,93184.0,1378.46153846,2993.23076923,12878.7692308,55689.8461538,29853.5384615,PAS
784,Paragigantocellular reticular nucleus,95785.1834093,37200.5343015,58584.6491078,28180.4294962,8033.70209268,986.402712607,9967.05140939,43915.7447683,4701.8529301,PGRN
785,Paragigantocellular reticular nucleus dorsal part,107299.73089,38197.9780348,69101.7528548,32393.3376973,4710.74259946,1093.89773802,8052.9493054,44454.1421194,16594.6614299,PGRNd
786,Paragigantocellular reticular nucleus lateral part,92239.1309217,36893.3587188,55345.7722029,26883.0104155,9057.0500616,953.298241684,10556.5236869,43749.938403,1039.31011311,PGRNl
787,Perihypoglossal nuclei,156650.447663,64939.0146721,91711.4329911,55683.8700605,7092.11081423,2163.0337974,11238.1755965,43788.6841982,36684.5731965,PHY
788,Nucleus of Roller,138471.66362,47444.2413163,91027.4223035,44051.1882998,1696.52650823,1696.52650823,7897.62340037,54873.857404,28255.9414991,NR
789,Nucleus prepositus,157633.084639,65884.6780967,91748.4065418,56312.6636692,7383.76401996,2188.25040763,11418.7459855,43189.4856465,37140.1749098,PRP
790,Parapyramidal nucleus,85453.1529232,33053.8677559,52399.2851672,19476.1296911,13381.6696451,196.068419709,16224.6617309,35668.1133521,506.510084248,PPY
791,Vestibular nuclei,130054.130706,54402.1906555,75651.9400504,49937.1653505,2584.19109557,1880.83420943,11879.220557,42127.4785458,21645.2409477,VNC
792,Lateral vestibular nucleus,110249.929584,43565.9875442,66683.9420399,40633.6807186,1664.44465308,1267.86217257,11428.7860295,39586.1421463,15669.0138641,LAV
793,Medial vestibular nucleus,145496.166277,64012.98192,81483.1843568,58313.053591,3320.7751288,2379.15320018,12936.0505213,43427.1186899,25120.0151456,MV
794,Spinal vestibular nucleus,125422.440742,50601.3536071,74821.0871347,47097.2715409,1748.15624146,1755.92582476,11100.7921333,41542.0194847,22178.2755167,SPIV
795,Superior vestibular nucleus,115651.43619,44737.688361,70913.7478285,40704.2378702,2683.79590353,1349.65458732,10339.5952006,42304.6903406,18269.4622874,SUV
796,Nucleus x,125355.688623,51583.2335329,73772.4550898,48651.497006,1417.96407186,1513.77245509,9446.70658683,46735.3293413,17590.4191617,x
797,Hypoglossal nucleus,135174.331976,56599.9801331,78574.3518427,50509.5857753,4043.30982418,2047.08453362,13960.8622231,39619.3503526,24994.1392669,XII
798,Nucleus y,121768.160742,50547.1406491,71221.0200927,40111.2828439,9149.92272025,1285.93508501,10386.3987635,38231.8392581,22602.7820711,y
799,Medulla behavioral state related,109236.434624,48535.9598917,60700.4747327,43671.8576689,3680.02129642,1184.08092639,14756.9989795,45179.6441723,763.831580815,MY-sat
800,Nucleus raphe magnus,103828.710176,46515.4881907,57313.2219851,40106.5410934,4925.61253771,1483.33455964,11367.5226253,45625.4874549,320.211904937,RM
801,Nucleus raphe pallidus,112548.351888,49302.7723205,63245.5795678,45488.7579131,3478.71643746,335.297969876,22632.6129666,40026.1951539,586.771447282,RPA
802,Nucleus raphe obscurus,122592.168537,54019.6931532,68572.4753836,52861.9189375,14.6553698191,1143.11884589,17044.1950996,49198.0764827,2330.20380124,RO
803,Cerebellum,979337.75697,832009.053837,147328.703132,811443.882227,20046.161966,519.009644647,28760.8269241,60279.166984,58288.7092243,CB
804,Cerebellar cortex,998695.984004,882042.455609,116653.528395,860529.631461,21018.6588099,494.165337545,23797.9104345,45114.7350033,47740.8829571,CBX
805,Vermal regions,989291.703924,871311.432419,117980.271505,849268.844035,21410.5979692,631.990414963,23445.3401946,40365.2210178,54169.710293,VERM
806,Lingula (I),813092.312641,691864.908331,121227.40431,657929.880991,33080.7333548,854.293985204,25927.307816,44834.9951753,50465.1013188,LING
807,Lingula (I) molecular layer,339857.182397,240340.990866,99516.1915306,221192.360919,18316.0808193,832.549128148,21044.0077498,31318.0182674,47154.1655134,LINGmo
808,Lingula (I) granular layer,1469444.91363,1318105.18234,151339.731286,1263662.1881,53558.5412668,884.452975048,32700.1919386,63582.3416507,55057.1976967,LINGgr
809,Central lobule,951514.84651,842778.640346,108736.206165,815953.070772,26265.4103386,560.159235297,23355.9228285,34358.1781425,51022.1051935,CENT
810,Lobule II,909826.866518,808957.490285,100869.376233,789088.409341,19214.4384206,654.642523889,22381.0637469,31941.4147857,46546.8977003,CENT2
811,Lobule II molecular layer,277686.771587,187828.158231,89858.613356,157066.780094,30195.1509996,566.227137388,18854.2747767,33800.7656316,37203.5729477,CENT2mo
812,Lobule II granular layer,1699435.22036,1584812.26257,114622.957788,1578548.78729,5498.39279547,765.082485455,26786.3879074,29618.8932869,58217.6765933,CENT2gr
813,Lobule III,972027.152687,859420.122745,112607.029942,829171.657058,29734.7963548,513.669332341,23835.5960573,35547.3312256,53224.1026595,CENT3
814,Lobule III molecular layer,271020.572794,190537.43547,80483.1373237,147695.869001,42455.7580806,385.80838914,19039.994739,21223.6702215,40219.4723632,CENT3mo
815,Lobule III granular layer,1763318.89096,1614450.61675,148868.274215,1598417.16258,15375.4562213,657.997946231,29248.8401153,51715.7880411,67903.6460589,CENT3gr
816,Culmen,940169.073573,817178.617755,122990.455818,795240.088296,21470.2865075,468.242951096,24710.8481442,46218.4193159,52061.1883576,CUL
817,Lobules IV-V,940169.073573,817178.617755,122990.455818,795240.088296,21470.2865075,468.242951096,24710.8481442,46218.4193159,52061.1883576,"CUL4, 5"
818,Lobules IV-V molecular layer,257876.667834,179381.206294,78495.4615391,149428.503977,29630.7198854,321.982432289,18368.6288557,22183.443369,37943.3893145,"CUL4, 5mo"
819,Lobules IV-V granular layer,1805317.47801,1625907.26289,179410.21512,1614130.72381,11122.8374417,653.701639209,32752.7973905,76694.826376,69962.5913539,"CUL4, 5gr"
820,Declive (VI),1051238.67931,927685.444446,123553.23486,909286.467733,18026.2947323,372.681980924,23422.5204862,43010.1919831,57120.5223902,DEC
821,Declive (VI) molecular layer,394664.438753,315096.243693,79568.1950597,284787.934086,30055.7344971,252.575109655,17412.9079776,18761.6168501,43393.6702321,DECmo
822,Declive (VI) granular layer,1795532.33806,1622117.58842,173414.749645,1617219.05142,4389.70166737,508.835331356,30235.0272911,70498.4173666,72681.3049872,DECgr
823,Folium-tuber vermis (VII),1476903.52474,1346965.41453,129938.11021,1332763.19709,13550.8853219,651.332119808,21719.0137349,40051.6299851,68167.4664902,FOTU
824,Folium-tuber vermis (VII) molecular layer,979978.909354,871370.747562,108608.161791,851475.045143,19331.744312,563.95810762,19105.2365475,30476.8508487,59026.0743951,FOTUmo
825,Folium-tuber vermis (VII) granular layer,2143110.68074,1984576.35325,158534.327491,1978007.16568,5800.71656822,768.470998354,25223.2013169,52888.1572577,80422.9689164,FOTUgr
826,Pyramus (VIII),1280993.70482,1148040.84084,132952.863975,1125873.25103,21544.0329218,623.556890224,21077.0770771,47299.2103214,64576.5765766,PYR
827,Pyramus (VIII) molecular layer,659056.102489,556913.63226,102142.470229,522551.567001,33861.3129272,500.75233223,16667.8990585,30226.7314389,55247.8397317,PYRmo
828,Pyramus (VIII) granular layer,1947855.07514,1781866.32249,165988.752651,1772774.0389,8337.05171937,755.231861344,25804.7386374,65604.8677054,74579.1463077,PYRgr
829,Uvula (IX),1005547.24004,895221.259671,110325.980369,879384.65608,14594.730428,1241.87316373,21332.5271839,31356.9950781,57636.458107,UVU
830,Uvula (IX) molecular layer,379611.094179,290353.945175,89257.1490041,265649.855675,23491.2598383,1212.82966097,18071.9651469,22911.8095272,48273.3743299,UVUmo
831,Uvula (IX) granular layer,1702744.30865,1568950.87467,133793.43398,1562991.29323,4685.35825545,1274.22318077,24964.2942727,40763.6392683,68065.5004393,UVUgr
832,Nodulus (X),931032.453483,824527.333045,106505.120438,799978.460503,23090.3408818,1458.53166018,21367.9503822,30014.5199288,55122.6501274,NOD
833,Nodulus (X) molecular layer,283438.766029,190761.568482,92677.1975469,176496.561977,12613.2689091,1651.73759524,17523.8803196,26610.6671622,48542.650065,NODmo
834,Nodulus (X) granular layer,1625403.60666,1504071.73458,121331.872073,1468496.16419,34324.2004583,1251.36993125,25489.6881538,33664.2423035,62177.941616,NODgr
835,Hemispheric regions,1004864.70904,889081.456023,115783.253013,867916.130023,20761.5668387,403.759160999,24029.1784153,48230.1723963,43523.9022015,HEM
836,Simple lobule,927659.704563,801264.361673,126395.34289,784019.906502,16837.8660276,406.589143946,27182.6266353,53875.360245,45337.3560097,SIM
837,Simple lobule molecular layer,275154.134875,199658.813027,75495.321848,172459.183925,26903.8574409,295.771660806,20699.2813846,22731.1727192,32064.8677442,SIMmo
838,Simple lobule granular layer,1838313.60996,1640880.86126,197432.748699,1637530.10821,2789.5041163,561.248933065,36230.9534954,97341.006085,63860.7891186,SIMgr
839,Ansiform lobule,1042996.22665,909390.195958,133606.030696,893704.47392,15294.4524986,391.26953876,25563.227268,55746.9078368,52295.8955913,AN
840,Crus 1,1029177.36844,892215.214903,136962.153537,875224.847076,16600.9181207,389.449705716,27175.0789191,57632.6360704,52154.4385472,ANcr1
841,Crus 1 molecular layer,300853.216018,217552.009069,83301.2069494,189555.191547,27704.9448007,291.872721694,20412.4532639,26603.3499217,36285.4037639,ANcr1mo
842,Crus 1 granular layer,1940894.64331,1736759.63573,204135.007584,1733547.15827,2700.88073896,511.596721802,35640.5439361,96475.1433723,72019.3202752,ANcr1gr
843,Crus 2,1061752.03732,932701.14451,129050.892812,918786.168581,13521.2363999,393.739528934,23375.5223272,53187.4806273,52487.8898571,ANcr2
844,Crus 2 molecular layer,350536.131476,269008.426117,81527.7053596,246192.173074,22533.7116684,282.541374393,18386.8523773,26166.6498624,36974.2031198,ANcr2mo
845,Crus 2 granular layer,1912979.66642,1727050.05387,185929.61255,1723788.6825,2734.54294703,526.828427359,29346.2741887,85527.6990044,71055.639357,ANcr2gr
846,Paramedian lobule,1026479.46033,919257.408714,107222.051615,902637.764959,16233.6482642,385.995490448,25663.3882503,43920.2666999,37638.3966653,PRM
